Deal,Login,Date,Comment,Amount
528125,14629039,2023.06.29 02:17:06,DB:54329,150
528258,2445723,2023.06.29 06:06:33,DB:54330,4500
528281,2446141,2023.06.29 06:34:01,DB:54331,55
528339,2402081,2023.06.29 07:54:18,WB:54333,-3500
528379,2402081,2023.06.29 08:57:54,DB:54335,3500
528393,2402081,2023.06.29 09:16:18,WB:54336,-5944
528435,2446457,2023.06.29 10:27:13,DB:54338,6690
528481,125984,2023.06.29 11:10:23,WB:54344,-55
528509,125967,2023.06.29 11:49:19,TF:MS14628529_20230629001,-300
528510,14628529,2023.06.29 11:49:20,TT:MS125967_20230629001,300
528818,14628668,2023.06.29 13:36:08,DB:54349,1500
528957,14630043,2023.06.29 14:13:09,DB:54351,100
528999,14629575,2023.06.29 14:23:27,WB:54353,-100
529079,14628529,2023.06.29 14:54:29,TF:MS125967_20230629001,-300
529080,125967,2023.06.29 14:54:30,TT:MS14628529_20230629001,300
529110,14629180,2023.06.29 15:13:21,WB:54359,-6000
529245,14630043,2023.06.29 16:07:15,DB:54361,25
529411,333894,2023.06.29 20:02:23,WB:54369,-500
529423,1634760,2023.06.29 20:47:31,WB:54372,-1303.96
529436,120185,2023.06.29 20:59:35,WB:54374,-500
529437,14628668,2023.06.29 21:12:37,WB:54375,-550
529439,2446019,2023.06.29 22:06:32,WB:54376,-1100
